DALLAS,TX,32.620972,33.014943,-97.014053,-96.5618
EL PASO,TX,31.603809,32.001381,-106.643074,-105.900167
FORT WORTH,TX,32.556035,33.042204,-97.598373,-97.034849
GARLAND,TX,32.83445,32.985344,-96.705544,-96.539224
HOUSTON,TX,29.5346,30.03706,-95.720184,-95.062172
IRVING,TX,32.778,32.949638,-97.033119,-96.892044
LAREDO,TX,27.328386,27.7974,-99.6779,-99.2943
LUBBOCK,TX,33.39193,33.781971,-102.168135,-101.621643
PLANO,TX,32.986752,33.124263,-96.859589,-96.59507
SAN ANTONIO,TX,29.114018,29.747412,-98.865493,-98.259632
CHESAPEAKE,VA,36.550049,36.866356,-76.462448,-76.094582
NORFOLK,VA,36.824181,36.968594,-76.318244,-76.177788
VIRGINIA BEACH,VA,36.550515,36.929331,-76.227875,-75.922729
SEATTLE,WA,47.341755,47.778599,-122.420242,-122.219826
MADISON,WI,42.976223,43.183128,-89.551048,-89.229996
MILWAUKEE,WI,42.921028,43.197243,-88.070137,-87.868347
