STDZD_PROP_CITY,state,minlat,maxlat,minlon,maxlon
BRUNDIDGE,AL,31.525852,31.764368,-85.940491,-85.723
BRYANT,AL,34.83734,34.985272,-85.710788,-85.588875
BUCKS,AL,31.0877,31.0877,-88.0462,-88.0462
BUHL,AL,33.110374,33.35079,-87.817047,-87.705037
BUTLER,AL,32.002588,32.213958,-88.44881,-88.061074
CALERA,AL,33.015735,33.200741,-86.813782,-86.638922
CAMDEN,AL,31.8687,32.144363,-87.392942,-87.106588
CAMP HILL,AL,32.629362,32.998676,-85.800876,-85.544993
CAMPBELL,AL,31.9282,31.9282,-88.0163,-88.0163
CARBON HILL,AL,33.734816,33.942065,-87.653113,-87.41188
CARROLLTON,AL,33.154481,33.339483,-88.307179,-87.959944
CASTLEBERRY,AL,31.219982,31.379,-87.1499,-86.819979
CATHERINE,AL,32.113814,32.30724,-87.565247,-87.405479
CECIL,AL,32.281166,32.3289,-86.0274,-85.943659
CEDAR BLUFF,AL,34.200146,34.323105,-85.7724,-85.459102
CENTRE,AL,34.028804,34.202333,-85.753927,-85.421526
CENTREVILLE,AL,32.8178,33.0328,-87.304854,-86.976866
CHANCELLOR,AL,31.106552,31.261881,-85.944702,-85.7998
CHATOM,AL,31.4259,31.5382,-88.432243,-88.13089
CHELSEA,AL,33.256424,33.371103,-86.733378,-86.577377
CHEROKEE,AL,34.580949,34.8971,-88.12607,-87.858458
CHILDERSBURG,AL,33.155736,33.351,-86.472558,-86.270234
CHUNCHULA,AL,30.865244,31.052068,-88.325909,-88.074493
CITRONELLE,AL,30.940329,31.149412,-88.426936,-88.123589
CLANTON,AL,32.708505,33.0423,-86.774883,-86.452831
CLAY,AL,33.7025,33.7025,-86.5997,-86.5997
CLAYTON,AL,31.67284,31.937428,-85.599519,-85.229263
CLEVELAND,AL,33.8923,34.046498,-86.696188,-86.499115
CLIO,AL,31.631482,31.740019,-85.655537,-85.423338
CLOPTON,AL,31.567844,31.689753,-85.480069,-85.3511
CODEN,AL,30.350705,30.44636,-88.265442,-88.104576
COFFEE SPRINGS,AL,31.112866,31.2469,-86.007272,-85.885873
COFFEEVILLE,AL,31.7187,31.875909,-88.133955,-87.968589
COKER,AL,33.208858,33.375912,-87.741982,-87.627052
COLLINSVILLE,AL,34.152591,34.422429,-85.982352,-85.749725
COLUMBIA,AL,31.190589,31.4304,-85.223233,-85.092125
COLUMBIANA,AL,33.128914,33.323612,-86.727047,-86.48629
